Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,GO Cellular Component,GO Molecular Function,GO Biological Process,Kinase Classification
XO44 / control,O15111,O15111,8.43288930174099,8.43288930174099,3.39268730387673E-05,1.46807577265378E-06,12,O15111,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,IKKA_HUMAN,24,34458.3206510326,345.583206510326,XO44,"nucleoplasm,cytoplasm,cytosol,IkappaB kinase complex,cytoplasmic side of plasma membrane,CD40 receptor complex,intracellular membrane-bounded organelle","protein kinase activity,protein binding,ATP binding,IkappaB kinase activity,identical protein binding,protein homodimerization activity,protein heterodimerization activity,scaffold protein binding,protein serine/threonine kinase activity","stimulatory C-type lectin receptor signaling pathway,antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent,MyD88-independent toll-like receptor signaling pathway,skeletal muscle contraction,protein phosphorylation,inflammatory response,immune response,I-kappaB kinase/NF-kappaB signaling,I-kappaB phosphorylation,Rho protein signal transduction,response to virus,response to toxic substance,anatomical structure morphogenesis,response to acetate,regulation of tumor necrosis factor-mediated signaling pathway,peptidyl-serine phosphorylation,negative regulation of NF-kappaB transcription factor activity,response to lipopolysaccharide,response to hydroperoxide,tumor necrosis factor-mediated signaling pathway,cellular response to reactive oxygen species,TRIF-dependent toll-like receptor signaling pathway,NIK/NF-kappaB signaling,Fc-epsilon receptor signaling pathway,response to drug,positive regulation of I-kappaB kinase/NF-kappaB signaling,response to amino acid,protein kinase B signaling,innate immune response,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,T cell receptor signaling pathway,positive regulation of NF-kappaB transcription factor activity,striated muscle cell differentiation,stress-activated MAPK cascade,nucleotide-binding oligomerization domain containing signaling pathway,interleukin-1-mediated signaling pathway,cellular response to cadmium ion,cellular response to tumor necrosis factor,cellular response to virus,positive regulation of interferon-alpha secretion",Other
XO44 / control,Q99570,Q99570,8.1032407440598,8.1032407440598,1.18029516706565E-05,7.12114892483528E-07,12,Q99570,PIK3R4,Phosphoinositide 3-kinase regulatory subunit 4,PI3R4_HUMAN,37,27399.1028952493,274.991028952493,XO44,"nuclear pore,late endosome,autophagosome,cytosol,axoneme,microtubule cytoskeleton,membrane,phagocytic vesicle membrane,phosphatidylinositol 3-kinase complex, class III, type I,phosphatidylinositol 3-kinase complex, class III, type II,phosphatidylinositol 3-kinase complex, class III,intracellular membrane-bounded organelle,nucleus-vacuole junction","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,1-phosphatidylinositol-3-kinase activity","protein phosphorylation,protein targeting to vacuole,phosphatidylinositol biosynthetic process,macroautophagy,pexophagy,regulation of cytokinesis,receptor catabolic process,toll-like receptor 9 signaling pathway,phosphatidylinositol-3-phosphate biosynthetic process,cellular response to glucose starvation,positive regulation of phosphatidylinositol 3-kinase activity,late endosome to vacuole transport",Other
XO44 / control,Q7Z7A4,Q7Z7A4,8.4705018006638,8.4705018006638,0.000108037387750801,3.75452325294908E-06,12,Q7Z7A4,PXK,PX domain-containing protein kinase-like protein,PXK_HUMAN,8,35371.1378702584,354.711378702584,XO44,"cytoplasm,microtubule organizing center,cytosol,plasma membrane","actin binding,phosphatidylinositol binding,nucleotide binding,protein kinase activity,ATP binding","inflammatory response,modulation of synaptic transmission,protein phosphorylation,negative regulation of ion transport,negative regulation of ATPase activity,regulation of membrane potential",Other
XO44 / control,P51957,P51957,8.14525165250305,8.14525165250305,1.49906015468838E-05,8.29839452976307E-07,12,P51957,NEK4,Serine/threonine-protein kinase Nek4,NEK4_HUMAN,17,28211.6427570926,283.116427570926,XO44,"cytoplasm,cytosol,ciliary rootlet,ciliary transition zone,ciliary basal body,ciliary plasm","protein serine/threonine kinase activity,protein binding,ATP binding,manganese ion binding","mitotic cell cycle,protein phosphorylation,cellular response to DNA damage stimulus,regulation of mitotic cell cycle,signal transduction by protein phosphorylation,stress-activated protein kinase signaling cascade,activation of protein kinase activity,regulation of apoptotic process,positive regulation of transcription, DNA-templated,cell division,regulation of replicative cell aging,regulation of cellular senescence,regulation of response to DNA damage stimulus",Other
XO44 / control,Q9H792,Q9H792,7.81518324621592,7.81518324621592,0.000682984266037687,1.95254989892236E-05,12,Q9H792,PEAK1,Inactive tyrosine-protein kinase PEAK1,PEAK1_HUMAN,12,22421.8768141184,225.218768141184,XO44,"cytoplasm,focal adhesion,actin cytoskeleton","non-membrane spanning protein tyrosine kinase activity,protein binding,ATP binding,protein kinase activity","cell migration,peptidyl-tyrosine phosphorylation,substrate adhesion-dependent cell spreading,protein autophosphorylation,protein phosphorylation",Other
XO44 / control,P51956,P51956,7.79996878387162,7.79996878387162,0.000439785458761795,1.29847669013564E-05,12,P51956,NEK3,Serine/threonine-protein kinase Nek3,NEK3_HUMAN,14,22185.6122130962,222.856122130962,XO44,"nucleus,cytoplasm,axon","protein serine/threonine kinase activity,protein binding,ATP binding,metal ion binding","mitotic cell cycle,protein phosphorylation,establishment of cell polarity,neuron projection morphogenesis,cell division,regulation of tubulin deacetylation",Other
XO44 / control,O00311,O00311,8.28727987635509,8.28727987635509,9.04761251901208E-05,3.23169233722024E-06,12,O00311,CDC7,Cell division cycle 7-related protein kinase,CDC7_HUMAN,17,31140.6330175715,312.406330175715,XO44,"nucleus,nucleoplasm,cytoplasm,intercellular bridge,mitotic spindle","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,kinase activity,metal ion binding","G1/S transition of mitotic cell cycle,double-strand break repair via break-induced replication,DNA replication,DNA replication initiation,phagocytosis,positive regulation of cell proliferation,regulation of cell shape,positive regulation of nuclear cell cycle DNA replication,positive regulation of G2/M transition of mitotic cell cycle,peptidyl-serine phosphorylation,cell cycle phase transition,cell division,negative regulation of G0 to G1 transition",Other
XO44 / control,Q8IYT8,Q8IYT8,7.79069271215557,7.79069271215557,7.44956408603551E-06,5.32575636490768E-07,12,Q8IYT8,ULK2,Serine/threonine-protein kinase ULK2,ULK2_HUMAN,4,22042.7824591463,221.427824591463,XO44,"cytoplasmic vesicle membrane,pre-autophagosomal structure membrane,membrane,cytosol,pre-autophagosomal structure","protein serine/threonine kinase activity,protein binding,ATP binding","autophagy,signal transduction,response to starvation,protein autophosphorylation,negative regulation of collateral sprouting,axon extension,autophagy of host cells involved in interaction with symbiont,autophagosome assembly,regulation of autophagy",Other
XO44 / control,Q86UE8,Q86UE8,8.50523305360907,8.50523305360907,8.95513413114411E-06,5.96939611110988E-07,12,Q86UE8,TLK2,Serine/threonine-protein kinase tousled-like 2,TLK2_HUMAN,24,36235.4270859799,363.354270859799,XO44,"nucleus,intermediate filament,perinuclear region of cytoplasm","protein serine/threonine kinase activity,protein binding,ATP binding","regulation of chromatin assembly or disassembly,chromatin organization,protein phosphorylation,cellular response to DNA damage stimulus,cell cycle,chromosome segregation,negative regulation of autophagy,peptidyl-serine phosphorylation,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,intracellular signal transduction,cellular response to gamma radiation",Other
XO44 / control,O60566,O60566,8.2138924765343,8.2138924765343,1.11879455386965E-05,6.88895166188782E-07,12,O60566,BUB1B,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,BUB1B_HUMAN,34,29591.2181986421,296.912181986421,XO44,"kinetochore,condensed chromosome kinetochore,condensed nuclear chromosome kinetochore,condensed chromosome outer kinetochore,anaphase-promoting complex,cytoplasm,microtubule organizing center,cytosol,perinuclear region of cytoplasm,spindle midzone","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding","mitotic cell cycle,protein phosphorylation,apoptotic process,sister chromatid cohesion,metaphase/anaphase transition of mitotic cell cycle,mitotic cell cycle checkpoint,mitotic spindle assembly checkpoint,cell proliferation,anaphase-promoting complex-dependent catabolic process,protein localization to kinetochore,proteasome-mediated ubiquitin-dependent protein catabolic process,cell division,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,meiotic sister chromatid cohesion, centromeric",Other
XO44 / control,Q8TD19,Q8TD19,8.58910516702576,8.58910516702576,1.71338949333004E-05,9.07776969883186E-07,12,Q8TD19,NEK9,Serine/threonine-protein kinase Nek9,NEK9_HUMAN,33,38410.4231978,385.104231978,XO44,"nucleus,cytosol,centrosome","protein serine/threonine kinase activity,protein binding,ATP binding,protein kinase binding,metal ion binding","protein phosphorylation,mitotic nuclear envelope disassembly,cell division",Other
XO44 / control,Q8TDX7,Q8TDX7,8.19220723405527,8.19220723405527,4.38411562727778E-06,3.78475315093615E-07,12,Q8TDX7,NEK7,Serine/threonine-protein kinase Nek7,NEK7_HUMAN,13,29148.2649466184,292.482649466184,XO44,"spindle pole,nucleoplasm,cytoplasm,microtubule organizing center,microtubule","protein serine/threonine kinase activity,protein binding,ATP binding,metal ion binding","protein phosphorylation,regulation of mitotic cell cycle,positive regulation of telomere maintenance via telomerase,spindle assembly,positive regulation of telomerase activity,positive regulation of telomere capping",Other
XO44 / control,Q9UKI8,Q9UKI8,8.20755651096861,8.20755651096861,6.40265106080361E-06,4.84461074202646E-07,12,Q9UKI8,TLK1,Serine/threonine-protein kinase tousled-like 1,TLK1_HUMAN,8,29461.1075095071,295.611075095071,XO44,nucleus,"protein serine/threonine kinase activity,protein binding,ATP binding","regulation of chromatin assembly or disassembly,chromatin organization,protein phosphorylation,intracellular protein transport,cellular response to DNA damage stimulus,cell cycle,intracellular signal transduction",Other
XO44 / control,P53350,P53350,8.25830570387028,8.25830570387028,2.5369544127512E-05,1.18777096999951E-06,12,P53350,PLK1,Serine/threonine-protein kinase PLK1,PLK1_HUMAN,24,30519.4743086011,306.194743086011,XO44,"kinetochore,chromatin,synaptonemal complex,spindle pole,condensed nuclear chromosome outer kinetochore,nucleus,nucleoplasm,centrosome,spindle,cytosol,microtubule cytoskeleton,midbody,spindle midzone,spindle microtubule","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,microtubule binding,anaphase-promoting complex binding,kinase activity,protein kinase binding,identical protein binding","mitotic sister chromatid segregation,G2/M transition of mitotic cell cycle,negative regulation of transcription from RNA polymerase II promoter,mitotic cell cycle,mitotic cytokinesis,microtubule bundle formation,protein phosphorylation,sister chromatid cohesion,mitotic nuclear envelope disassembly,mitotic spindle assembly checkpoint,centrosome cycle,regulation of mitotic cell cycle,cell proliferation,regulation of G2/M transition of mitotic cell cycle,positive regulation of peptidyl-threonine phosphorylation,female meiosis chromosome segregation,protein ubiquitination,peptidyl-serine phosphorylation,regulation of mitotic metaphase/anaphase transition,anaphase-promoting complex-dependent catabolic process,protein destabilization,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,regulation of cytokinesis,negative regulation of apoptotic process,regulation of protein binding,homologous chromosome segregation,establishment of protein localization,negative regulation of cyclin-dependent protein serine/threonine kinase activity,positive regulation of proteolysis,nuclear envelope disassembly,positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle,positive regulation of ubiquitin-protein transferase activity,regulation of cell cycle,synaptonemal complex disassembly,protein localization to chromatin,signal transduction involved in G2 DNA damage checkpoint,protein localization to nuclear envelope,ciliary basal body docking,positive regulation of protein localization to nucleus,regulation of mitotic spindle assembly,regulation of cell cycle G2/M phase transition,positive regulation of ubiquitin protein ligase activity",Other
XO44 / control,O75063,O75063,7.59017856299128,7.59017856299128,8.89461811498106E-05,3.18576737676221E-06,12,O75063,FAM20B,Glycosaminoglycan xylosylkinase,XYLK_HUMAN,5,19169.543218998,192.69543218998,XO44,"Golgi membrane,extracellular space,nucleoplasm,Golgi apparatus,integral component of membrane","protein binding,ATP binding,kinase activity,phosphotransferase activity, alcohol group as acceptor,metal ion binding","phosphorylation,positive regulation of protein targeting to mitochondrion,protein phosphorylation,proteoglycan biosynthetic process",PKL
XO44 / control,Q02750,Q02750,9.33485628499833,9.33485628499833,6.31163946802729E-06,4.79915360265951E-07,12,Q02750,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,MP2K1_HUMAN,12,64476.0902226599,645.760902226599,XO44,"nucleus,mitochondrion,early endosome,late endosome,endoplasmic reticulum,Golgi apparatus,microtubule organizing center,cytosol,plasma membrane,focal adhesion,extracellular exosome,cytoplasm","protein kinase activity,protein serine/threonine kinase activity,MAP kinase kinase activity,protein serine/threonine/tyrosine kinase activity,protein tyrosine kinase activity,receptor signaling protein tyrosine phosphatase activity,protein binding,ATP binding,protein C-terminus binding,protein serine/threonine kinase activator activity,protein N-terminus binding,scaffold protein binding","MAPK cascade,activation of MAPK activity,protein phosphorylation,chemotaxis,cell cycle arrest,signal transduction,regulation of mitotic cell cycle,heart development,negative regulation of cell proliferation,positive regulation of gene expression,negative regulation of gene expression,peptidyl-threonine phosphorylation,peptidyl-tyrosine phosphorylation,cerebellar cortex formation,neuron differentiation,keratinocyte differentiation,thyroid gland development,regulation of stress-activated MAPK cascade,proteolysis in other organism,regulation of apoptotic process,positive regulation of transcription, DNA-templated,thymus development,regulation of axon regeneration,cell motility,positive regulation of axonogenesis,Bergmann glial cell differentiation,face development,trachea formation,epithelial cell proliferation involved in lung morphogenesis,placenta blood vessel development,labyrinthine layer development,ERK1 and ERK2 cascade,positive regulation of ERK1 and ERK2 cascade,positive regulation of protein serine/threonine kinase activity,regulation of Golgi inheritance,cellular senescence,positive regulation of production of miRNAs involved in gene silencing by miRNA,regulation of early endosome to late endosome transport,signal transduction by protein phosphorylation,activation of protein kinase activity,stress-activated protein kinase signaling cascade",STE
XO44 / control,O95747,O95747,9.7696502483266,9.7696502483266,1.93108256137489E-05,9.79958880185993E-07,12,O95747,OXSR1,Serine/threonine-protein kinase OSR1,OXSR1_HUMAN,14,87188.6490181533,872.886490181533,XO44,"cytoplasm,cytosol,extracellular exosome","magnesium ion binding,protein serine/threonine kinase activity,receptor signaling protein serine/threonine kinase activity,protein binding,ATP binding,identical protein binding","protein phosphorylation,response to oxidative stress,regulation of mitotic cell cycle,peptidyl-threonine phosphorylation,signal transduction by protein phosphorylation,stress-activated protein kinase signaling cascade,activation of protein kinase activity,intracellular signal transduction,regulation of apoptotic process,cellular hypotonic response,negative regulation of potassium ion transmembrane transporter activity",STE
XO44 / control,Q13153,Q13153,9.32153608187476,9.32153608187476,0.000172917104799351,5.63433345565553E-06,12,Q13153,PAK1,Serine/threonine-protein kinase PAK 1,PAK1_HUMAN,20,63882.6121087264,639.826121087264,XO44,"ruffle,cytoplasm,cytosol,plasma membrane,cell-cell junction,focal adhesion,intercalated disc,Z disc,lamellipodium,axon,dendrite,nuclear membrane,ruffle membrane,macromolecular complex,invadopodium,filamentous actin","protein kinase activity,protein serine/threonine kinase activity,protein binding,collagen binding,ATP binding,protein kinase binding,Rac GTPase binding","response to hypoxia,positive regulation of protein phosphorylation,stimulatory C-type lectin receptor signaling pathway,protein phosphorylation,exocytosis,apoptotic process,Rho protein signal transduction,regulation of mitotic cell cycle,positive regulation of cell proliferation,positive regulation of fibroblast migration,cerebellum development,establishment of cell polarity,positive regulation of cell migration,positive regulation of microtubule polymerization,T cell costimulation,actin cytoskeleton reorganization,activation of protein kinase activity,cellular response to insulin stimulus,positive regulation of peptidyl-serine phosphorylation,positive regulation of intracellular estrogen receptor signaling pathway,Fc-epsilon receptor signaling pathway,Fc-gamma receptor signaling pathway involved in phagocytosis,wound healing,regulation of apoptotic process,positive regulation of JUN kinase activity,positive regulation of axon extension,protein autophosphorylation,hepatocyte growth factor receptor signaling pathway,ephrin receptor signaling pathway,branching morphogenesis of an epithelial tube,neuron projection morphogenesis,regulation of axonogenesis,T cell receptor signaling pathway,positive regulation of stress fiber assembly,negative regulation of cell proliferation involved in contact inhibition,negative regulation of cell growth involved in cardiac muscle cell development,positive regulation of protein targeting to membrane,positive regulation of vascular smooth muscle cell proliferation,positive regulation of vascular associated smooth muscle cell migration,positive regulation of glucose import in response to insulin stimulus,MAPK cascade,regulation of MAPK cascade,cell migration,signal transduction by protein phosphorylation,cytokinesis,stress-activated protein kinase signaling cascade,actin cytoskeleton organization",STE
XO44 / control,Q99759,Q99759,8.92339921022939,8.92339921022939,3.26477804970462E-06,3.07967559659894E-07,12,Q99759,MAP3K3,Mitogen-activated protein kinase kinase kinase 3,M3K3_HUMAN,16,48452.4137645166,485.524137645166,XO44,"cytoplasm,cytosol","protein kinase activity,protein serine/threonine kinase activity,MAP kinase kinase kinase activity,protein binding,ATP binding,metal ion binding","MAPK cascade,activation of MAPKK activity,blood vessel development,regulation of mitotic cell cycle,stress-activated protein kinase signaling cascade,activation of protein kinase activity,intracellular signal transduction,regulation of apoptotic process,positive regulation of I-kappaB kinase/NF-kappaB signaling,protein autophosphorylation,interleukin-1-mediated signaling pathway,positive regulation of cell proliferation in bone marrow,positive regulation of cell migration involved in sprouting angiogenesis,positive regulation of p38MAPK cascade,negative regulation of cellular senescence,signal transduction by protein phosphorylation",STE
XO44 / control,Q13177,Q13177,9.88523668058159,9.88523668058159,1.09746882789817E-05,6.80786973029668E-07,12,Q13177,PAK2,Serine/threonine-protein kinase PAK 2,PAK2_HUMAN,23,94469.86195546,945.6986195546,XO44,"nucleus,cytoplasm,cytosol,plasma membrane,perinuclear region of cytoplasm","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,protein kinase binding,protein tyrosine kinase activator activity,small GTPase binding,identical protein binding,cadherin binding,Rac GTPase binding","stimulatory C-type lectin receptor signaling pathway,protein phosphorylation,negative regulation of protein kinase activity,apoptotic process,signal transduction,Rho protein signal transduction,regulation of mitotic cell cycle,phosphorylation,cell migration,peptidyl-serine phosphorylation,signal transduction by protein phosphorylation,actin cytoskeleton organization,stress-activated protein kinase signaling cascade,T cell costimulation,interleukin-12-mediated signaling pathway,Fc-epsilon receptor signaling pathway,regulation of growth,negative regulation of apoptotic process,regulation of MAPK cascade,protein autophosphorylation,vascular endothelial growth factor receptor signaling pathway,regulation of defense response to virus by virus,positive regulation of peptidyl-tyrosine phosphorylation,T cell receptor signaling pathway,dendritic spine development,positive regulation of protein tyrosine kinase activity,cellular response to organic cyclic compound,positive regulation of extrinsic apoptotic signaling pathway,negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis,regulation of apoptotic process,activation of protein kinase activity",STE
XO44 / control,Q9P289,Q9P289,8.65370099214703,8.65370099214703,1.19381957141591E-05,7.16941236652786E-07,12,Q9P289,STK26,Serine/threonine-protein kinase 26,STK26_HUMAN,10,40173.8893137187,402.738893137187,XO44,"Golgi membrane,cytoplasm,Golgi apparatus,Golgi-associated vesicle,cytosol,vesicle membrane,membrane,apical plasma membrane,perinuclear region of cytoplasm,extracellular exosome,cell periphery","magnesium ion binding,protein kinase activity,protein binding,ATP binding,MAP kinase kinase kinase kinase activity,identical protein binding,protein homodimerization activity,protein serine/threonine kinase activity","MAPK cascade,activation of MAPKKK activity,protein phosphorylation,regulation of mitotic cell cycle,cellular response to starvation,microvillus assembly,negative regulation of cell migration,stress-activated protein kinase signaling cascade,response to hydrogen peroxide,regulation of apoptotic process,protein autophosphorylation,neuron projection morphogenesis,execution phase of apoptosis,regulation of hydrogen peroxide-induced cell death,signal transduction by protein phosphorylation,activation of protein kinase activity",STE
XO44 / control,Q13043,Q13043,8.61056453626574,8.61056453626574,2.68483490745307E-05,1.23287618950245E-06,12,Q13043,STK4,Serine/threonine-protein kinase 4,STK4_HUMAN,24,38987.5279696196,390.875279696196,XO44,"nucleus,nucleoplasm,cytoplasm,cytosol,nuclear body","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,transcription factor binding,identical protein binding,protein homodimerization activity,protein serine/threonine kinase activator activity,protein dimerization activity,MAP kinase kinase kinase activity","cell morphogenesis,patterning of blood vessels,neural tube formation,positive regulation of protein phosphorylation,endocardium development,protein phosphorylation,apoptotic process,signal transduction,regulation of mitotic cell cycle,central nervous system development,negative regulation of cell proliferation,peptidyl-serine phosphorylation,signal transduction by protein phosphorylation,keratinocyte differentiation,stress-activated protein kinase signaling cascade,positive regulation of protein binding,positive regulation of peptidyl-serine phosphorylation,hippo signaling,intracellular signal transduction,positive regulation of apoptotic process,positive regulation of fat cell differentiation,negative regulation of organ growth,protein autophosphorylation,protein stabilization,primitive hemopoiesis,cell differentiation involved in embryonic placenta development,regulation of cell differentiation involved in embryonic placenta development,positive regulation of protein serine/threonine kinase activity,negative regulation of canonical Wnt signaling pathway,hepatocyte apoptotic process,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,positive regulation of vascular associated smooth muscle cell apoptotic process,G2 DNA damage checkpoint,activation of MAPKK activity,activation of protein kinase activity,regulation of apoptotic process",STE
XO44 / control,Q13163,Q13163,8.08841196480875,8.08841196480875,9.57946954621067E-06,6.23162917197965E-07,12,Q13163,MAP2K5,Dual specificity mitogen-activated protein kinase kinase 5,MP2K5_HUMAN,9,27117.900286559,272.17900286559,XO44,"nucleus,cytoplasm,spindle,cytosol","protein kinase activity,protein serine/threonine kinase activity,protein tyrosine kinase activity,protein binding,ATP binding,metal ion binding","negative regulation of transcription from RNA polymerase II promoter,activation of MAPK activity,signal transduction,regulation of mitotic cell cycle,heart development,peptidyl-tyrosine phosphorylation,signal transduction by protein phosphorylation,positive regulation of cell growth,stress-activated protein kinase signaling cascade,negative regulation of NF-kappaB transcription factor activity,activation of protein kinase activity,negative regulation of heterotypic cell-cell adhesion,regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,negative regulation of interleukin-8 biosynthetic process,positive regulation of transcription from RNA polymerase II promoter,positive regulation of epithelial cell proliferation,positive regulation of protein metabolic process,negative regulation of response to cytokine stimulus,ERK5 cascade,cellular response to growth factor stimulus,cellular response to laminar fluid shear stress,negative regulation of cell migration involved in sprouting angiogenesis,negative regulation of chemokine (C-X-C motif) ligand 2 production,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand",STE
XO44 / control,O43318,O43318,8.19346561955268,8.19346561955268,3.26893936796217E-05,1.42766901687426E-06,12,O43318,MAP3K7,Mitogen-activated protein kinase kinase kinase 7,M3K7_HUMAN,21,29173.7877687185,292.737877687185,XO44,"nucleus,Ada2/Gcn5/Ada3 transcription activator complex,cytosol,plasma membrane,endosome membrane,IkappaB kinase complex","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,MAP kinase kinase kinase activity,protein binding,ATP binding,identical protein binding,scaffold protein binding","activation of MAPKK activity,activation of MAPK activity,stimulatory C-type lectin receptor signaling pathway,positive regulation of T cell cytokine production,MyD88-dependent toll-like receptor signaling pathway,transcription, DNA-templated,transforming growth factor beta receptor signaling pathway,Wnt signaling pathway, calcium modulating pathway,I-kappaB kinase/NF-kappaB signaling,activation of NF-kappaB-inducing kinase activity,I-kappaB phosphorylation,JNK cascade,viral process,positive regulation of macroautophagy,protein deubiquitination,positive regulation of interleukin-2 production,Fc-epsilon receptor signaling pathway,positive regulation of I-kappaB kinase/NF-kappaB signaling,anoikis,positive regulation of JUN kinase activity,histone H3 acetylation,T cell receptor signaling pathway,positive regulation of NF-kappaB transcription factor activity,stress-activated MAPK cascade,nucleotide-binding oligomerization domain containing signaling pathway,interleukin-1-mediated signaling pathway",STE
XO44 / control,Q99683,Q99683,7.67740056297869,7.67740056297869,4.9981423115175E-05,1.98982777556599E-06,12,Q99683,MAP3K5,Mitogen-activated protein kinase kinase kinase 5,M3K5_HUMAN,19,20370.4720762065,204.704720762065,XO44,"cytosol,external side of plasma membrane,macromolecular complex,protein kinase complex,IRE1-TRAF2-ASK1 complex","magnesium ion binding,protein kinase activity,protein serine/threonine kinase activity,MAP kinase kinase kinase activity,protein binding,ATP binding,protein kinase binding,protein phosphatase binding,protein domain specific binding,identical protein binding,protein homodimerization activity","MAPK cascade,activation of MAPKK activity,response to ischemia,protein phosphorylation,JNK cascade,activation of JUN kinase activity,intrinsic apoptotic signaling pathway in response to oxidative stress,positive regulation of cardiac muscle cell apoptotic process,viral process,cellular response to amino acid starvation,response to endoplasmic reticulum stress,p38MAPK cascade,wound healing,positive regulation of apoptotic process,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of JUN kinase activity,innate immune response,positive regulation of myoblast differentiation,positive regulation of transcription, DNA-templated,positive regulation of JNK cascade,stress-activated MAPK cascade,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,cellular response to hydrogen peroxide,cellular response to tumor necrosis factor,endothelial cell apoptotic process,apoptotic signaling pathway,programmed necrotic cell death,positive regulation of p38MAPK cascade,positive regulation of neuron death,cellular response to reactive nitrogen species,positive regulation of vascular smooth muscle cell proliferation,cellular response to stress",STE
XO44 / control,Q9H2G2,Q9H2G2,8.6368997271557,8.6368997271557,9.76763212832798E-06,6.30169814730837E-07,12,Q9H2G2,SLK,STE20-like serine/threonine-protein kinase,SLK_HUMAN,57,39707.590160684,398.07590160684,XO44,"cytoplasm,cell leading edge,perinuclear region of cytoplasm,extracellular exosome","protein serine/threonine kinase activity,protein binding,ATP binding,identical protein binding,protein homodimerization activity,cadherin binding","apoptotic process,regulation of mitotic cell cycle,signal transduction by protein phosphorylation,regulation of cell migration,stress-activated protein kinase signaling cascade,cytoplasmic microtubule organization,activation of protein kinase activity,regulation of apoptotic process,protein autophosphorylation,regulation of focal adhesion assembly",STE
XO44 / control,P36507,P36507,9.05412485399509,9.05412485399509,2.15204099686142E-05,1.05687160523482E-06,12,P36507,MAP2K2,Dual specificity mitogen-activated protein kinase kinase 2,MP2K2_HUMAN,28,53057.330804819,531.57330804819,XO44,"extracellular region,nucleus,mitochondrion,early endosome,late endosome,peroxisomal membrane,endoplasmic reticulum,Golgi apparatus,cytosol,microtubule,plasma membrane,cell-cell junction,focal adhesion,cytoplasmic side of plasma membrane,perinuclear region of cytoplasm,cytoplasm","protein serine/threonine kinase activity,MAP kinase kinase activity,protein serine/threonine/tyrosine kinase activity,protein tyrosine kinase activity,protein binding,ATP binding,PDZ domain binding,protein serine/threonine kinase activator activity,metal ion binding,scaffold protein binding","MAPK cascade,activation of MAPK activity,regulation of mitotic cell cycle,negative regulation of gene expression,peptidyl-tyrosine phosphorylation,regulation of stress-activated MAPK cascade,proteolysis in other organism,peptidyl-serine autophosphorylation,regulation of apoptotic process,positive regulation of transcription, DNA-templated,ERK1 and ERK2 cascade,positive regulation of protein serine/threonine kinase activity,regulation of Golgi inheritance,positive regulation of production of miRNAs involved in gene silencing by miRNA,regulation of early endosome to late endosome transport,signal transduction by protein phosphorylation,stress-activated protein kinase signaling cascade,activation of protein kinase activity",STE
