HGNC ,Kinase Classification,Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process
,,HeLa_XO44 / Hek293_XO44,Q15005,Q15005,1.0550043189203158,1.0550043189203158,0.0234210857546148,0.0078602199590984,6,Q15005,SPCS2,Signal peptidase complex subunit 2,SPCS2_HUMAN,8,107.77244265604288,2.0777244265604287,HeLa_XO44,Hek293_XO44,"signal peptidase complex,endoplasmic reticulum membrane,integral component of membrane,organelle membrane",peptidase activity,"signal peptide processing,protein targeting to ER"
,,HeLa_XO44 / Hek293_XO44,Q8N684,Q8N684,1.0540270743576583,1.0540270743576583,0.0281559771804349,0.0087386609415124,6,Q8N684,CPSF7,Cleavage and polyadenylation specificity factor subunit 7,CPSF7_HUMAN,16,107.6317505963444,2.076317505963444,HeLa_XO44,Hek293_XO44,"nucleus,nucleoplasm,cytoplasm,mRNA cleavage and polyadenylation specificity factor complex,mRNA cleavage factor complex,membrane","RNA binding,protein binding","mRNA splicing, via spliceosome,termination of RNA polymerase II transcription,mRNA 3'-end processing,protein tetramerization,protein heterotetramerization,pre-mRNA cleavage required for polyadenylation"
,,HeLa_XO44 / Hek293_XO44,Q99856,Q99856,1.0487814191337272,1.0487814191337272,0.0249607762401149,0.008124276616573,6,Q99856,ARID3A,AT-rich interactive domain-containing protein 3A,ARI3A_HUMAN,7,106.87817008430814,2.0687817008430813,HeLa_XO44,Hek293_XO44,"nucleus,nucleoplasm,cytosol,intracellular membrane-bounded organelle,membrane raft","RNA polymerase II regulatory region sequence-specific DNA binding,transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,chromatin binding,protein binding,protein homodimerization activity","transcription from RNA polymerase II promoter,DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest,positive regulation of transcription from RNA polymerase II promoter"
,,HeLa_XO44 / Hek293_XO44,Q9Y227,Q9Y227,1.0434525880253636,1.0434525880253636,0.0081082979525194,0.005458618459565,6,Q9Y227,ENTPD4,Ectonucleoside triphosphate diphosphohydrolase 4,ENTP4_HUMAN,12,106.11544108121356,2.061154410812136,HeLa_XO44,Hek293_XO44,"Golgi membrane,integral component of Golgi membrane,cytoplasmic vesicle,integral component of autophagosome membrane","nucleoside-diphosphatase activity,nucleoside-triphosphatase activity,uridine-diphosphatase activity","UDP catabolic process,nucleobase-containing small molecule catabolic process"
,,HeLa_XO44 / Hek293_XO44,Q8IZ21,Q8IZ21,1.0328716725533027,1.0328716725533027,0.0179918233192512,0.0069683477858731,6,Q8IZ21,PHACTR4,Phosphatase and actin regulator 4,PHAR4_HUMAN,11,104.60929318010494,2.046092931801049,HeLa_XO44,Hek293_XO44,"cytoplasm,lamellipodium","actin binding,protein phosphatase 1 binding,protein phosphatase activator activity","neural crest cell migration,neural tube closure,Rho protein signal transduction,actin cytoskeleton organization,positive regulation of catalytic activity,regulation of phosphoprotein phosphatase activity,enteric nervous system development,regulation of cell cycle,closure of optic fissure,negative regulation of integrin-mediated signaling pathway"
,,HeLa_XO44 / Hek293_XO44,Q9H1X3,Q9H1X3,1.0316689734808302,1.0316689734808302,0.0106845806369073,0.0059637270681104,6,Q9H1X3,DNAJC25,DnaJ homolog subfamily C member 25,DJC25_HUMAN,4,104.43879223898588,2.0443879223898587,HeLa_XO44,Hek293_XO44,integral component of membrane,,
,,HeLa_XO44 / Hek293_XO44,P51858,P51858,1.030454379094318,1.030454379094318,0.0329404300153757,0.009704114074651,6,P51858,HDGF,Hepatoma-derived growth factor,HDGF_HUMAN,13,104.2667491484797,2.042667491484797,HeLa_XO44,Hek293_XO44,"extracellular region,extracellular space,nucleoplasm,cytoplasm,transcriptional repressor complex,extracellular matrix","nucleotide binding,RNA polymerase II transcription corepressor activity,transcription corepressor binding,DNA binding,RNA binding,growth factor activity,heparin binding","negative regulation of transcription from RNA polymerase II promoter,transcription, DNA-templated,signal transduction,cell proliferation,regulation of receptor activity,IRE1-mediated unfolded protein response"
,,HeLa_XO44 / Hek293_XO44,Q9UHD1,Q9UHD1,1.0294661000838496,1.0294661000838496,0.0192521981721599,0.0071394316156194,6,Q9UHD1,CHORDC1,Cysteine and histidine-rich domain-containing protein 1,CHRD1_HUMAN,19,104.12686968182967,2.041268696818297,HeLa_XO44,Hek293_XO44,cellular_component,"protein binding,ATP binding,zinc ion binding,ADP binding,Hsp90 protein binding","regulation of centrosome duplication,chaperone-mediated protein folding,regulation of cellular response to heat,negative regulation of Rho-dependent protein serine/threonine kinase activity"
,,HeLa_XO44 / Hek293_XO44,Q6IQ26,Q6IQ26,1.02571238318739,1.02571238318739,0.0173327342543965,0.0068727784977406,6,Q6IQ26,DENND5A,DENN domain-containing protein 5A,DEN5A_HUMAN,16,103.59644675972363,2.0359644675972364,HeLa_XO44,Hek293_XO44,"Golgi membrane,trans-Golgi network,cytosol,retromer complex,membrane","calcium channel activity,Rab guanyl-nucleotide exchange factor activity","negative regulation of neuron projection development,retrograde transport, endosome to Golgi,detection of mechanical stimulus,regulation of molecular function,calcium ion transmembrane transport"
,,HeLa_XO44 / Hek293_XO44,Q96RS0,Q96RS0,1.025102742031233,1.025102742031233,0.0107489331416066,0.0059711455985181,6,Q96RS0,TGS1,Trimethylguanosine synthase,TGS1_HUMAN,20,103.51043097090766,2.0351043097090766,HeLa_XO44,Hek293_XO44,"extracellular space,nucleus,nucleoplasm,nucleolus,cytoplasm,cytosol,Cajal body,small nuclear ribonucleoprotein complex","protein binding,RNA methyltransferase activity,RNA trimethylguanosine synthase activity","spliceosomal snRNP assembly,transcription, DNA-templated,regulation of transcription, DNA-templated,7-methylguanosine RNA capping,regulation of lipid metabolic process,ribonucleoprotein complex biogenesis,7-methylguanosine cap hypermethylation,ribonucleoprotein complex import into nucleus"
,,HeLa_XO44 / Hek293_XO44,P51114,P51114,1.021826034186401,1.021826034186401,0.030227923418798,0.0091555247999938,6,P51114,FXR1,RNA-binding protein FXR1,FXR1_HUMAN,23,103.04873428666092,2.0304873428666093,HeLa_XO44,Hek293_XO44,"nucleolus,cytoplasm,cytosol,polysome,membrane,axon,ribonucleoprotein granule,costamere,dendritic spine,perinuclear region of cytoplasm,postsynaptic density,cytoplasmic ribonucleoprotein granule,nucleus,neuronal cell body,neuronal ribonucleoprotein granule","G-quadruplex RNA binding,RNA binding,mRNA binding,mRNA 3'-UTR binding,protein binding,RNA strand annealing activity,protein homodimerization activity,protein heterodimerization activity,translation regulator activity","apoptotic process,muscle organ development,negative regulation of translation,cell differentiation,positive regulation of gene silencing by miRNA,anterograde axonal transport,regulation of mRNA stability,neuron development,central nervous system development,regulation of dendrite morphogenesis,regulation of translation at postsynapse, modulating synaptic transmission,regulation of modification of synaptic structure,positive regulation of translation,regulation of dendritic spine development"
,,HeLa_XO44 / Hek293_XO44,P30305,P30305,1.0216029354287717,1.0216029354287717,0.0018019113017115,0.004692156495055,6,P30305,CDC25B,M-phase inducer phosphatase 2,MPIP2_HUMAN,9,103.01733720227494,2.030173372022749,HeLa_XO44,Hek293_XO44,"spindle pole,nucleoplasm,centrosome,cytosol","phosphoprotein phosphatase activity,protein tyrosine phosphatase activity,protein binding,protein kinase binding","G2/M transition of mitotic cell cycle,mitotic cell cycle,oocyte maturation,protein phosphorylation,female meiosis I,positive regulation of cell proliferation,positive regulation of cytokinesis,peptidyl-tyrosine dephosphorylation,positive regulation of protein kinase activity,positive regulation of mitotic cell cycle,cell division,positive regulation of cell cycle G2/M phase transition"
,,HeLa_XO44 / Hek293_XO44,Q8WUH2,Q8WUH2,1.021433475771608,1.021433475771608,0.0205021634965623,0.0073548608641855,6,Q8WUH2,TGFBRAP1,Transforming growth factor-beta receptor-associated protein 1,TGFA1_HUMAN,11,102.99349208812843,2.0299349208812845,HeLa_XO44,Hek293_XO44,"early endosome,membrane,CORVET complex,intracellular membrane-bounded organelle,lysosomal membrane","transforming growth factor beta receptor binding,protein binding,SMAD binding","regulation of transcription, DNA-templated,intracellular protein transport,signal transduction,transforming growth factor beta receptor signaling pathway,endosome to lysosome transport,endosomal vesicle fusion,vesicle-mediated transport"
,,HeLa_XO44 / Hek293_XO44,Q12873,Q12873,1.0193618568302616,1.0193618568302616,0.0207858516093385,0.007407285323251,6,Q12873,CHD3,Chromodomain-helicase-DNA-binding protein 3,CHD3_HUMAN,52,102.70221543440196,2.0270221543440194,HeLa_XO44,Hek293_XO44,"nucleus,nucleoplasm,nucleolus,cytoplasm,centrosome,microtubule organizing center,NuRD complex","DNA binding,RNA binding,ATP-dependent DNA helicase activity,helicase activity,histone deacetylase activity,protein binding,ATP binding,zinc ion binding","chromatin assembly or disassembly,transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription from RNA polymerase II promoter,spindle organization,centrosome cycle,histone deacetylation,DNA duplex unwinding,regulation of signal transduction by p53 class mediator"
,,HeLa_XO44 / Hek293_XO44,Q8NBX0,Q8NBX0,1.0179281254962351,1.0179281254962351,0.0314044627471853,0.0093929066123094,6,Q8NBX0,SCCPDH,Saccharopine dehydrogenase-like oxidoreductase,SCPDL_HUMAN,9,102.50087270436184,2.0250087270436183,HeLa_XO44,Hek293_XO44,"extracellular region,nucleus,mitochondrion,lipid particle,membrane,midbody,platelet alpha granule lumen,plasma membrane",oxidoreductase activity,"platelet degranulation,oxidation-reduction process,glycolipid biosynthetic process"
,,HeLa_XO44 / Hek293_XO44,Q9HC21,Q9HC21,1.013323911123101,1.013323911123101,0.033497522520567,0.009816202495607,6,Q9HC21,SLC25A19,Mitochondrial thiamine pyrophosphate carrier,TPC_HUMAN,13,101.855641923221,2.01855641923221,HeLa_XO44,Hek293_XO44,"nucleus,mitochondrial inner membrane,integral component of mitochondrial inner membrane,integral component of membrane","thiamine transmembrane transporter activity,deoxynucleotide transmembrane transporter activity,thiamine pyrophosphate transporter activity,transmembrane transporter activity","mitochondrial transport,deoxynucleotide transport,thiamine pyrophosphate transport,thiamine-containing compound metabolic process,thiamine transmembrane transport"
,,HeLa_XO44 / Hek293_XO44,Q13643,Q13643,1.0121838959303082,1.0121838959303082,0.012205761826088,0.0062179026171942,6,Q13643,FHL3,Four and a half LIM domains protein 3,FHL3_HUMAN,6,101.69619893884642,2.0169619893884643,HeLa_XO44,Hek293_XO44,"stress fiber,nucleus,focal adhesion,Z disc","actin binding,protein binding,metal ion binding,transcription cofactor activity","muscle organ development,actin cytoskeleton organization"
,,HeLa_XO44 / Hek293_XO44,Cont_E1BJK2,Cont_E1BJK2,1.0098565371427266,1.0098565371427266,0.0187976518822856,0.0070697459941332,6,Cont_E1BJK2,TUBB1,Tubulin beta chain,E1BJK2_BOVIN,3,101.3710844988339,2.013710844988339,HeLa_XO44,Hek293_XO44,,,
,,HeLa_XO44 / Hek293_XO44,Q6NW34,Q6NW34,1.008477416639166,1.008477416639166,0.0320158410720038,0.0095168509356491,6,Q6NW34,NEPRO,Nucleolus and neural progenitor protein,NEPRO_HUMAN,12,101.17867911353396,2.01178679113534,HeLa_XO44,Hek293_XO44,"nucleus,nucleolus",,"negative regulation of neuron differentiation,positive regulation of Notch signaling pathway"
,,HeLa_XO44 / Hek293_XO44,Q6R327,Q6R327,1.0084408389925674,1.0084408389925674,0.0301266055184965,0.0091350105529789,6,Q6R327,RICTOR,Rapamycin-insensitive companion of mTOR,RICTR_HUMAN,47,101.173578555803,2.01173578555803,HeLa_XO44,Hek293_XO44,"cytosol,TORC2 complex","protein binding,enzyme activator activity,protein kinase binding,ribosome binding","positive regulation of endothelial cell proliferation,embryo development ending in birth or egg hatching,regulation of gene expression,peptidyl-serine phosphorylation,establishment of cell polarity,positive regulation of actin filament polymerization,establishment or maintenance of actin cytoskeleton polarity,actin cytoskeleton reorganization,TOR signaling,positive regulation of TOR signaling,activation of protein kinase B activity,regulation of actin cytoskeleton organization,regulation of peptidyl-serine phosphorylation,regulation of phosphorylation,regulation of GTPase activity,regulation of inflammatory response,positive regulation of peptidyl-tyrosine phosphorylation,regulation of protein kinase B signaling,positive regulation of protein kinase B signaling,regulation of establishment of cell polarity"
,,HeLa_XO44 / Hek293_XO44,Q9P2G1,Q9P2G1,1.0072913903838216,1.0072913903838216,0.0247759616290744,0.008087902708868,6,Q9P2G1,ANKIB1,Ankyrin repeat and IBR domain-containing protein 1,AKIB1_HUMAN,7,101.01335994433023,2.0101335994433023,HeLa_XO44,Hek293_XO44,"ubiquitin ligase complex,cytoplasm","protein binding,ubiquitin conjugating enzyme binding,metal ion binding,ubiquitin protein ligase activity","protein polyubiquitination,positive regulation of proteasomal ubiquitin-dependent protein catabolic process,protein ubiquitination involved in ubiquitin-dependent protein catabolic process"
MAP4K2,STE,HeLa_XO44 / Hek293_XO44,Q12851,Q12851,1.0072766106869286,1.0072766106869286,0.0162911742154187,0.0067328943394869,6,Q12851,MAP4K2,Mitogen-activated protein kinase kinase kinase kinase 2,M4K2_HUMAN,15,101.01130067246092,2.0101130067246094,HeLa_XO44,Hek293_XO44,"Golgi membrane,cytoplasm,basolateral plasma membrane","protein serine/threonine kinase activity,protein binding,ATP binding,MAP kinase kinase kinase kinase activity,mitogen-activated protein kinase kinase kinase binding","activation of MAPKKK activity,protein phosphorylation,vesicle targeting,immune response,JNK cascade,activation of JUN kinase activity,regulation of mitotic cell cycle,intracellular signal transduction,regulation of apoptotic process,innate immune response,positive regulation of JNK cascade,stress-activated protein kinase signaling cascade,activation of protein kinase activity,signal transduction by protein phosphorylation,MAPK cascade"
,,HeLa_XO44 / Hek293_XO44,Q13686,Q13686,1.005673994440112,1.005673994440112,0.0009640914405649,0.0041814366280176,6,Q13686,ALKBH1,Nucleic acid dioxygenase ALKBH1,ALKB1_HUMAN,5,100.78813146017752,2.007881314601775,HeLa_XO44,Hek293_XO44,"nuclear euchromatin,mitochondrion","tRNA binding,DNA-(apurinic or apyrimidinic site) lyase activity,ferrous iron binding,oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors,chemoattractant activity,DNA-N1-methyladenine dioxygenase activity,methylcytosine dioxygenase activity,Requires Ontology,dioxygenase activity","in utero embryonic development,neuron migration,placenta development,tRNA wobble cytosine modification,DNA repair,DNA dealkylation involved in DNA repair,regulation of translational initiation,regulation of translational elongation,neuron projection development,oxidative single-stranded DNA demethylation,RNA repair,negative regulation of neuron apoptotic process,developmental growth,positive chemotaxis,regulation of mitochondrial translation,oxidative demethylation,DNA demethylation,Requires Ontology"
,,HeLa_XO44 / Hek293_XO44,P10809,P10809,1.0052811301772455,1.0052811301772455,0.0342530167760649,0.0099697585450396,6,P10809,HSPD1,"60 kDa heat shock protein, mitochondrial",CH60_HUMAN,48,100.7334617346673,2.007334617346673,HeLa_XO44,Hek293_XO44,"extracellular space,cytoplasm,mitochondrion,mitochondrial inner membrane,mitochondrial matrix,early endosome,cytosol,plasma membrane,clathrin-coated pit,cell surface,membrane,coated vesicle,secretory granule,macromolecular complex,myelin sheath,lipopolysaccharide receptor complex,extracellular exosome,cyclin-dependent protein kinase activating kinase holoenzyme complex","lipopolysaccharide binding,p53 binding,DNA replication origin binding,single-stranded DNA binding,RNA binding,double-stranded RNA binding,protein binding,ATP binding,high-density lipoprotein particle binding,ATPase activity,enzyme binding,ubiquitin protein ligase binding,apolipoprotein binding,apolipoprotein A-I binding,protein binding involved in protein folding,unfolded protein binding,chaperone binding","B cell cytokine production,MyD88-dependent toll-like receptor signaling pathway,positive regulation of T cell mediated immune response to tumor cell,regulation of transcription from RNA polymerase II promoter,'de novo' protein folding,activation of cysteine-type endopeptidase activity involved in apoptotic process,response to unfolded protein,apoptotic mitochondrial changes,response to cold,viral process,positive regulation of interferon-alpha production,positive regulation of interferon-gamma production,positive regulation of interleukin-10 production,positive regulation of interleukin-12 production,positive regulation of interleukin-6 production,protein refolding,B cell proliferation,T cell activation,B cell activation,positive regulation of macrophage activation,positive regulation of apoptotic process,negative regulation of apoptotic process,protein import into mitochondrial intermembrane space,isotype switching to IgG isotypes,protein stabilization,positive regulation of T cell activation,chaperone-mediated protein complex assembly,protein maturation,interaction with symbiont,chaperone-mediated protein folding,adhesion of symbiont to host,regulation of cytokine production,mitochondrion organization"
,,HeLa_XO44 / Hek293_XO44,Q9Y4G6,Q9Y4G6,1.002479245125071,1.002479245125071,0.0100692645932783,0.0058363396845847,6,Q9Y4G6,TLN2,Talin-2,TLN2_HUMAN,21,100.34399184086968,2.003439918408697,HeLa_XO44,Hek293_XO44,"ruffle,cytoplasm,plasma membrane,focal adhesion,actin cytoskeleton,synapse","actin binding,structural molecule activity,structural constituent of cytoskeleton,protein binding,actin filament binding","cytoskeletal anchoring at plasma membrane,cell-cell junction assembly,cell adhesion"
MAP2K7,STE,HeLa_XO44 / Hek293_XO44,O14733,O14733,-1.0005364836004067,1.0005364836004067,0.0083908883899808,0.0055145469691845,6,O14733,MAP2K7,Dual specificity mitogen-activated protein kinase kinase 7,MP2K7_HUMAN,18,-50.01858964814495,0.4998141035185505,HeLa_XO44,Hek293_XO44,"nucleus,cytoplasm,cytosol","magnesium ion binding,protein serine/threonine kinase activity,MAP kinase kinase activity,protein tyrosine kinase activity,protein binding,ATP binding,enzyme binding,protein kinase binding,protein phosphatase binding,JUN kinase kinase activity","apoptotic process,response to osmotic stress,signal transduction,JNK cascade,activation of JUN kinase activity,regulation of mitotic cell cycle,response to heat,response to UV,peptidyl-tyrosine phosphorylation,positive regulation of telomere maintenance via telomerase,response to tumor necrosis factor,proteolysis in other organism,Fc-epsilon receptor signaling pathway,regulation of apoptotic process,stress-activated MAPK cascade,positive regulation of telomerase activity,positive regulation of telomere capping,signal transduction by protein phosphorylation,activation of MAPK activity,activation of protein kinase activity,stress-activated protein kinase signaling cascade"
,,HeLa_XO44 / Hek293_XO44,P08397,P08397,-1.001913874540101,1.001913874540101,0.0132143759508422,0.0063387151488373,6,P08397,HMBS,Porphobilinogen deaminase,HEM3_HUMAN,9,-50.06628586004671,0.4993371413995329,HeLa_XO44,Hek293_XO44,"cytoplasm,cytosol",hydroxymethylbilane synthase activity,"protoporphyrinogen IX biosynthetic process,heme biosynthetic process,peptidyl-pyrromethane cofactor linkage"
,,HeLa_XO44 / Hek293_XO44,Q6W2J9,Q6W2J9,-1.0042135534252032,1.0042135534252032,0.0038544273753224,0.004779174928834,6,Q6W2J9,BCOR,BCL-6 corepressor,BCOR_HUMAN,48,-50.14581759183558,0.4985418240816442,HeLa_XO44,Hek293_XO44,"nucleus,PcG protein complex","RNA polymerase II regulatory region sequence-specific DNA binding,transcription corepressor activity,protein binding,transcription factor binding,heat shock protein binding,histone deacetylase binding,transcription regulatory region DNA binding,ubiquitin-protein transferase activity","negative regulation of transcription from RNA polymerase II promoter,negative regulation of histone H3-K36 methylation,transcription, DNA-templated,heart development,negative regulation of bone mineralization,histone H2A monoubiquitination,odontogenesis,negative regulation of transcription, DNA-templated,negative regulation of histone H3-K4 methylation,palate development,specification of axis polarity,negative regulation of tooth mineralization"
,,HeLa_XO44 / Hek293_XO44,O43303,O43303,-1.0050201563040344,1.0050201563040344,0.0112990501869748,0.0060680182262125,6,O43303,CCP110,Centriolar coiled-coil protein of 110 kDa,CP110_HUMAN,18,-50.17368300116043,0.4982631699883957,HeLa_XO44,Hek293_XO44,"centrosome,centriole,cytosol,cilium",protein binding,"G2/M transition of mitotic cell cycle,centriole replication,regulation of G2/M transition of mitotic cell cycle,protein deubiquitination,ciliary basal body organization,regulation of cytokinesis,positive regulation of cilium assembly,centrosome duplication,ciliary basal body docking,negative regulation of cilium assembly"
,,HeLa_XO44 / Hek293_XO44,Q5SQN1,Q5SQN1,-1.006160019822493,1.006160019822493,0.0204793378335915,0.0073510072443654,6,Q5SQN1,SNAP47,Synaptosomal-associated protein 47,SNP47_HUMAN,6,-50.213034886731776,0.4978696511326822,HeLa_XO44,Hek293_XO44,"plasma membrane,dendrite,synaptic vesicle membrane,SNARE complex,neuronal cell body,perinuclear region of cytoplasm,BLOC-1 complex","SNAP receptor activity,protein binding,syntaxin binding","synaptic vesicle priming,synaptic vesicle fusion to presynaptic active zone membrane,long-term synaptic potentiation,exocytic insertion of neurotransmitter receptor to postsynaptic membrane,exocytosis,vesicle fusion"
,,HeLa_XO44 / Hek293_XO44,Q9Y672,Q9Y672,-1.0087549909225857,1.0087549909225857,0.0057176914264222,0.0049484839612695,6,Q9Y672,ALG6,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase",ALG6_HUMAN,9,-50.302506056743866,0.4969749394325614,HeLa_XO44,Hek293_XO44,"endoplasmic reticulum membrane,membrane,integral component of membrane","dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity,dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity,glucosyltransferase activity","protein N-linked glycosylation,dolichol-linked oligosaccharide biosynthetic process,oligosaccharide-lipid intermediate biosynthetic process"
,,HeLa_XO44 / Hek293_XO44,Q49AR2,Q49AR2,-1.0090867800655063,1.0090867800655063,0.0284747042670713,0.0088021088009067,6,Q49AR2,C5orf22,UPF0489 protein C5orf22,CE022_HUMAN,7,-50.31393410808466,0.4968606589191534,HeLa_XO44,Hek293_XO44,,protein binding,
,,HeLa_XO44 / Hek293_XO44,Q96IG2,Q96IG2,-1.012742059716121,1.012742059716121,0.0112106932834313,0.0060519554356583,6,Q96IG2,FBXL20,F-box/LRR-repeat protein 20,FXL20_HUMAN,6,-50.43966170721919,0.4956033829278081,HeLa_XO44,Hek293_XO44,"cytosol,SCF ubiquitin ligase complex","ubiquitin-protein transferase activity,protein binding","protein polyubiquitination,behavioral fear response,post-translational protein modification,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process"
,,HeLa_XO44 / Hek293_XO44,Q14739,Q14739,-1.0128303811850734,1.0128303811850734,0.0061771601148403,0.0050271268092447,6,Q14739,LBR,Delta(14)-sterol reductase LBR,LBR_HUMAN,18,-50.44269568721607,0.4955730431278393,HeLa_XO44,Hek293_XO44,"nuclear envelope,integral component of nuclear inner membrane,membrane,integral component of membrane,nuclear membrane,integral component of endoplasmic reticulum membrane,nuclear inner membrane","DNA binding,RNA binding,protein binding,lamin binding,oxidoreductase activity, acting on the CH-CH group of donors,delta14-sterol reductase activity,chromo shadow domain binding","cholesterol biosynthetic process,sterol biosynthetic process,oxidation-reduction process"
,,HeLa_XO44 / Hek293_XO44,Q9H0M0,Q9H0M0,-1.0139757714125657,1.0139757714125657,0.0049307810856879,0.004849565541364,6,Q9H0M0,WWP1,NEDD4-like E3 ubiquitin-protein ligase WWP1,WWP1_HUMAN,5,-50.48202480659179,0.4951797519340821,HeLa_XO44,Hek293_XO44,"ubiquitin ligase complex,nucleus,cytoplasm,cytosol,plasma membrane,extracellular exosome","ubiquitin-protein transferase activity,protein binding,ubiquitin protein ligase activity","signal transduction,central nervous system development,protein ubiquitination,ion transmembrane transport,proteasome-mediated ubiquitin-dependent protein catabolic process,negative regulation of transcription, DNA-templated,viral entry into host cell,protein polyubiquitination,protein ubiquitination involved in ubiquitin-dependent protein catabolic process,positive regulation of protein catabolic process"
NEK2,Other,HeLa_XO44 / Hek293_XO44,P51955,P51955,-1.0165111168008514,1.0165111168008514,0.007229740021343,0.0052602017880389,6,P51955,NEK2,Serine/threonine-protein kinase Nek2,NEK2_HUMAN,15,-50.56896966782728,0.4943103033217272,HeLa_XO44,Hek293_XO44,"kinetochore,condensed chromosome kinetochore,condensed nuclear chromosome,spindle pole,nucleoplasm,nucleolus,centrosome,cytosol,microtubule,midbody,macromolecular complex,cytoplasm,nucleus","protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,protein phosphatase binding,metal ion binding","mitotic sister chromatid segregation,G2/M transition of mitotic cell cycle,mitotic cell cycle,blastocyst development,protein phosphorylation,chromosome segregation,regulation of mitotic nuclear division,regulation of G2/M transition of mitotic cell cycle,positive regulation of telomere maintenance via telomerase,negative regulation of DNA binding,regulation of mitotic centrosome separation,protein autophosphorylation,spindle assembly,centrosome separation,cell division,meiotic cell cycle,positive regulation of telomerase activity,regulation of attachment of spindle microtubules to kinetochore,mitotic spindle assembly,ciliary basal body docking,negative regulation of centriole-centriole cohesion,positive regulation of telomere capping"
,,HeLa_XO44 / Hek293_XO44,Q5SSJ5,Q5SSJ5,-1.0166088303196796,1.0166088303196796,0.003914673511896,0.004779174928834,6,Q5SSJ5,HP1BP3,Heterochromatin protein 1-binding protein 3,HP1B3_HUMAN,19,-50.57231751072517,0.4942768248927482,HeLa_XO44,Hek293_XO44,"nucleosome,nucleus,chromosome,nuclear speck","DNA binding,protein binding,nucleosome binding","nucleosome assembly,regulation of transcription, DNA-templated,regulation of cell proliferation,heterochromatin organization,cellular response to hypoxia,regulation of nucleus size"
,,HeLa_XO44 / Hek293_XO44,P11171,P11171,-1.0203152304630678,1.0203152304630678,0.0059264858017655,0.004980113042488,6,P11171,EPB41,Protein 4.1,EPB41_HUMAN,22,-50.69913824515151,0.4930086175484848,HeLa_XO44,Hek293_XO44,"nucleus,cytosol,plasma membrane,cytoplasmic side of plasma membrane,postsynaptic density,spectrin-associated cytoskeleton,cell junction,cortical cytoskeleton,macromolecular complex,cell cortex region,cytoskeleton","actin binding,structural constituent of cytoskeleton,protein binding,calmodulin binding,1-phosphatidylinositol binding,protein C-terminus binding,spectrin binding,protein N-terminus binding,phosphoprotein binding","cell cycle,regulation of cell shape,actin cytoskeleton organization,cortical actin cytoskeleton organization,actomyosin structure organization,positive regulation of protein binding,cell division,positive regulation of protein localization to cell cortex"
,,HeLa_XO44 / Hek293_XO44,Q9BZF2,Q9BZF2,-1.0227816752529286,1.0227816752529286,0.0196539152272096,0.0072169050378995,6,Q9BZF2,OSBPL7,Oxysterol-binding protein-related protein 7,OSBL7_HUMAN,10,-50.78335144819724,0.4921664855180276,HeLa_XO44,Hek293_XO44,"autophagosome,endoplasmic reticulum membrane,cytosol,plasma membrane,perinuclear endoplasmic reticulum","protein binding,sterol transporter activity,cholesterol binding","bile acid biosynthetic process,regulation of autophagy,sterol transport,cellular response to cholesterol,positive regulation of proteasomal protein catabolic process"
,,HeLa_XO44 / Hek293_XO44,Q9BWJ5,Q9BWJ5,-1.02410661849741,1.02410661849741,0.0193068498090017,0.0071509296966577,6,Q9BWJ5,SF3B5,Splicing factor 3B subunit 5,SF3B5_HUMAN,2,-50.82853031820576,0.4917146968179424,HeLa_XO44,Hek293_XO44,"nucleus,nucleoplasm,U2 snRNP,U12-type spliceosomal complex,precatalytic spliceosome",RNA binding,"mRNA splicing, via spliceosome"
,,HeLa_XO44 / Hek293_XO44,P14550,P14550,-1.025344092485493,1.025344092485493,0.0218621194112344,0.0075901321596939,6,P14550,AKR1A1,Aldo-keto reductase family 1 member A1,AK1A1_HUMAN,14,-50.87068914180348,0.4912931085819652,HeLa_XO44,Hek293_XO44,"extracellular space,cytosol,apical plasma membrane,extracellular exosome","alditol:NADP+ 1-oxidoreductase activity,aldo-keto reductase (NADP) activity,protein binding,electron carrier activity,L-glucuronate reductase activity,alcohol dehydrogenase (NADP+) activity,oxidoreductase activity","glucose metabolic process,cellular aldehyde metabolic process,glucuronate catabolic process to xylulose 5-phosphate,L-ascorbic acid biosynthetic process,electron transport chain,D-glucuronate catabolic process,aldehyde catabolic process,glutathione derivative biosynthetic process"
